# CATEGORY|NAME|COMES_WITH|MODSET|SIZES|REQUIRED|DESC
# SIZES shorthand: S3:x => One Size/White Wrap/Wheat Wrap all at x ; W2:x => White Wrap/Wheat Wrap ; else Name=price;Name=price ; NONE => no sizes (flat base price in DESC field col5 as BASE:x)
Cold Subs|Cold Vegetarian Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:10.35||
Cold Subs|Bologna Sub|Bologna, Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:10.25||
Cold Subs|Genoa Salami Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:10.25||
Cold Subs|Ham Sub|Provolone Cheese, Lettuce, Onion, Tomato|M16|S3:10.25||
Cold Subs|BLT Sub|Bacon, Lettuce, Tomato|M17|S3:10.25||
Cold Subs|Italian Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:10.25||
Cold Subs|American Sub|American Cheese, Lettuce, Tomato, Onion|M18|S3:10.25||
Cold Subs|Turkey Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:10.50||
Cold Subs|Turkey Bacon Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:11.80||
Cold Subs|Turkey Roast Beef Bacon Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:12.95||
Cold Subs|Turkey Ham Bacon Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:12.95||
Cold Subs|Roast Beef Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:11.50||
Cold Subs|Tuna Sub|Lettuce, Onion, Tomato, American Cheese|M15|S3:10.25||
Cold Subs|Seafood Salad Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:10.35||
Cold Subs|Chicken Salad Sub|Provolone Cheese, Lettuce, Onion, Tomato|M15|S3:11.50||
Hot Subs|Gyro||M19|One Size=10.25||
Hot Subs|Chicken Parm Sub|Marinara Sauce, Provolone Cheese|M20|S3:10.90||
Hot Subs|Cheeseburger Sub|American Cheese, Lettuce, Tomato, Onion|M21|S3:10.50||
Hot Subs|Homemade Meatball Parm Sub|Meatball, Marinara Sauce, Provolone Cheese|M22|S3:10.75||
Hot Subs|Bacon Cheeseburger Sub|Bacon, American Cheese, Onion, Tomato, Lettuce|M21|S3:12.10||
Hot Subs|Sausage Parm Sub|Sausage, Provolone Cheese|M22|One Size=10.75;Wheat Wrap=10.75||
Hot Subs|Grilled Veggie Sub|Broccoli, Grilled Mushrooms, Grilled Onions, Grilled Peppers|M21|S3:10.25||
Hot Subs|Meatball/Sausage Sub|Meatball, Sausage, Provolone Cheese|M22|S3:12.10||
Hot Subs|Eggplant Parm Sub|Provolone Cheese, Marinara Sauce|M23|S3:10.90||
Egg & Cheese Subs|Egg & Cheese Sub|American Cheese|M24|S3:10.75||
Egg & Cheese Subs|Ham, Egg & Cheese Sub|American Cheese|M25|S3:11.25||
Egg & Cheese Subs|Bacon, Egg & Cheese Sub|American Cheese|M26|S3:11.50||
Egg & Cheese Subs|Pepper, Egg & Cheese Sub|American Cheese, Grilled Peppers|M27|S3:11.00||
Steak Subs|Steak and Cheese Sub|American Cheese|M28|S3:11.00||
Steak Subs|BBQ Steak Sub|American Cheese|M29|S3:11.55||
Steak Subs|Steak and Onion Sub|American Cheese, Grilled Onions|M30|S3:11.55||
Steak Subs|Steak and Pepper Sub|American Cheese, Grilled Peppers|M31|S3:11.55||
Steak Subs|Steak and Mushroom Sub|American Cheese, Grilled Mushrooms|M32|S3:11.55||
Steak Subs|Steak Teriyaki Sub|American Cheese|M28|S3:11.55||
Steak Subs|Steak Special Sub|American Cheese, Grilled Mushrooms, Grilled Onions, Grilled Peppers|M33|S3:12.35||
Steak Subs|Steak Bomb Sub|American Cheese, Salami, Grilled Onions, Grilled Peppers, Grilled Mushrooms|M34|S3:13.65||
Steak Subs|Steak Tip Sub|American Cheese, Grilled Onions, Grilled Peppers|M35|S3:16.45||
Steak Subs|Hot Pastrami Sub|Provolone Cheese|M36|S3:11.15||
Chicken Subs|Grilled Chicken Sub|American Cheese, Lettuce, Tomato, Onion|M37|S3:10.90||
Chicken Subs|Chicken Stir Fry Sub|American Cheese, Broccoli, Grilled Onions, Grilled Peppers, Grilled Mushrooms|M38|S3:11.50||
Chicken Subs|Buffalo Chicken Sub|Bleu Cheese, Lettuce, Tomato, Onion|M39|S3:11.50||
Chicken Subs|Chicken Club Sub|Provolone Cheese, Lettuce, Tomato, Onion|M40|S3:12.35||
Chicken Subs|Grilled Chicken Parmesan Sub|Provolone Cheese, Marinara Sauce|M41|S3:11.25||
Chicken Subs|Chicken Cordon Bleu Sub|Provolone Cheese, Lettuce, Tomato, Onion|M42|S3:12.65||Provolone Cheese, Ham, Lettuce, Tomatoes and Onion
